2520100,神奈川県,相模原市緑区,
2520141,神奈川県,相模原市緑区,相原
2520162,神奈川県,相模原市緑区,青根
2520161,神奈川県,相模原市緑区,青野原
2520156,神奈川県,相模原市緑区,青山
2520152,神奈川県,相模原市緑区,太井
2520135,神奈川県,相模原市緑区,大島
2520146,神奈川県,相模原市緑区,大山町
2520115,神奈川県,相模原市緑区,小倉
2520173,神奈川県,相模原市緑区,小原
2520184,神奈川県,相模原市緑区,小渕
2520136,神奈川県,相模原市緑区,上九沢
2520111,神奈川県,相模原市緑区,川尻
2520105,神奈川県,相模原市緑区,久保沢
2520181,神奈川県,相模原市緑区,佐野川
2520182,神奈川県,相模原市緑区,澤井
2520134,神奈川県,相模原市緑区,下九沢
2520116,神奈川県,相模原市緑区,城山
2520188,神奈川県,相模原市緑区,寸沢嵐
2520176,神奈川県,相模原市緑区,寸沢嵐
2520124,神奈川県,相模原市緑区,田名
2520113,神奈川県,相模原市緑区,谷ヶ原
2520174,神奈川県,相模原市緑区,千木良
2520155,神奈川県,相模原市緑区,鳥屋
2520117,神奈川県,相模原市緑区,中沢
2520154,神奈川県,相模原市緑区,長竹
2520157,神奈川県,相模原市緑区,中野
2520187,神奈川県,相模原市緑区,名倉
2520131,神奈川県,相模原市緑区,西橋本
2520137,神奈川県,相模原市緑区,二本松
2520153,神奈川県,相模原市緑区,根小屋
2520143,神奈川県,相模原市緑区,橋本
2520132,神奈川県,相模原市緑区,橋本台
2520114,神奈川県,相模原市緑区,葉山島
2520102,神奈川県,相模原市緑区,原宿
2520103,神奈川県,相模原市緑区,原宿南
2520144,神奈川県,相模原市緑区,東橋本
2520185,神奈川県,相模原市緑区,日連
2520106,神奈川県,相模原市緑区,広田
2520186,神奈川県,相模原市緑区,牧野
2520158,神奈川県,相模原市緑区,又野
2520101,神奈川県,相模原市緑区,町屋
2520151,神奈川県,相模原市緑区,三井
2520159,神奈川県,相模原市緑区,三ケ木
2520104,神奈川県,相模原市緑区,向原
2520142,神奈川県,相模原市緑区,元橋本町
2520183,神奈川県,相模原市緑区,吉野
2520171,神奈川県,相模原市緑区,与瀬
2520172,神奈川県,相模原市緑区,与瀬本町
2520112,神奈川県,相模原市緑区,若葉台
2520175,神奈川県,相模原市緑区,若柳
2520200,神奈川県,相模原市中央区,
2520235,神奈川県,相模原市中央区,相生
2520224,神奈川県,相模原市中央区,青葉
2520251,神奈川県,相模原市中央区,大野台
2520205,神奈川県,相模原市中央区,小山
2520233,神奈川県,相模原市中央区,鹿沼台
2520243,神奈川県,相模原市中央区,上溝
2520201,神奈川県,相模原市中央区,上矢部
2520234,神奈川県,相模原市中央区,共和
2520214,神奈川県,相模原市中央区,向陽町
2520217,神奈川県,相模原市中央区,小町通
2520231,神奈川県,相模原市中央区,相模原
2520254,神奈川県,相模原市中央区,下九沢
2520246,神奈川県,相模原市中央区,水郷田名
2520213,神奈川県,相模原市中央区,すすきの町
2520216,神奈川県,相模原市中央区,清新
2520221,神奈川県,相模原市中央区,高根
2520244,神奈川県,相模原市中央区,田名
2520245,神奈川県,相模原市中央区,田名塩田
2520239,神奈川県,相模原市中央区,中央
2520237,神奈川県,相模原市中央区,千代田
2520228,神奈川県,相模原市中央区,並木
2520203,神奈川県,相模原市中央区,東淵野辺
2520227,神奈川県,相模原市中央区,光が丘
2520215,神奈川県,相模原市中央区,氷川町
2520236,神奈川県,相模原市中央区,富士見
2520206,神奈川県,相模原市中央区,淵野辺
2520202,神奈川県,相模原市中央区,淵野辺本町
2520238,神奈川県,相模原市中央区,星が丘
2520223,神奈川県,相模原市中央区,松が丘
2520225,神奈川県,相模原市中央区,緑が丘
2520253,神奈川県,相模原市中央区,南橋本
2520212,神奈川県,相模原市中央区,宮下
2520211,神奈川県,相模原市中央区,宮下本町
